Title,Note,URL,Tags,Comment
,,,,
Voyager Craft Coffee - Cupertino,,https://www.google.com/maps/place/Voyager+Craft+Coffee+-+Cupertino/data=!4m2!3m1!1s0x808fb5de47226c47:0x39911f7160fe62a4,,
Sightglass Coffee,,https://www.google.com/maps/place/Sightglass+Coffee/data=!4m2!3m1!1s0x808580af3cd399d1:0xffceeb92a11a5a6d,,
Cafe Shoji,,https://www.google.com/maps/place/Cafe+Shoji/data=!4m2!3m1!1s0x8085810016cfab49:0xcd7aa88addc83b7e,,
Southeast Community Center,,https://www.google.com/maps/place/Southeast+Community+Center/data=!4m2!3m1!1s0x808f7f3aa10717cb:0xe0e090c821735e2d,,
Whistle & Fizz,,https://www.google.com/maps/place/Whistle+%26+Fizz/data=!4m2!3m1!1s0x89c2590f540f8691:0xcbe45b9a80dfb235,,
Blue Bottle Coffee,,https://www.google.com/maps/place/Blue+Bottle+Coffee/data=!4m2!3m1!1s0x89c2f7d253e7bcb1:0x6cae72b32087ebb2,,
Blue Bottle Coffee,,https://www.google.com/maps/place/Blue+Bottle+Coffee/data=!4m2!3m1!1s0x89c2594217dd42ff:0xb6bab2f292729315,,
Starbucks Reserve - Empire State Building,,https://www.google.com/maps/place/Starbucks+Reserve+-+Empire+State+Building/data=!4m2!3m1!1s0x89c259941b4ec91f:0xc4f3e8da38e8d2b9,,
Urbana Cafe and Gallery,,https://www.google.com/maps/place/Urbana+Cafe+and+Gallery/data=!4m2!3m1!1s0x89c25979e67279eb:0x70460ae77a1ed1f6,,
KEY'S CAFÉ 秋葉原SEEKBASE店,,https://www.google.com/maps/place/KEY'S+CAF%C3%89+%E7%A7%8B%E8%91%89%E5%8E%9FSEEKBASE%E5%BA%97/data=!4m2!3m1!1s0x60188f6331b6c313:0xb64a443933232af9,,
Asha Tea House,,https://www.google.com/maps/place/Asha+Tea+House/data=!4m2!3m1!1s0x80857e9ef30ee2c5:0x3988b1281282871f,,
Brooklyn Parlor SHINJUKU,,https://www.google.com/maps/place/Brooklyn+Parlor+SHINJUKU/data=!4m2!3m1!1s0x60188cdb16eab7d9:0x9d12545a646c5542,,
ブルーボトルコーヒー 広尾カフェ,,https://www.google.com/maps/place/%E3%83%96%E3%83%AB%E3%83%BC%E3%83%9C%E3%83%88%E3%83%AB%E3%82%B3%E3%83%BC%E3%83%92%E3%83%BC+%E5%BA%83%E5%B0%BE%E3%82%AB%E3%83%95%E3%82%A7/data=!4m2!3m1!1s0x60188b0ecc67c00b:0xf3cb08df55f0553c,,
Unison Tailor Ningyocho,,https://www.google.com/maps/place/Unison+Tailor+Ningyocho/data=!4m2!3m1!1s0x60188951e89e23e9:0xe3c59ab7a0de200c,,
10 DIXANS ディゾン人形町店,,https://www.google.com/maps/place/10+DIXANS+%E3%83%87%E3%82%A3%E3%82%BE%E3%83%B3%E4%BA%BA%E5%BD%A2%E7%94%BA%E5%BA%97/data=!4m2!3m1!1s0x601889161ab105f7:0x14843e333dc000b4,,
喫茶室ルノアール 歌舞伎座前店,,https://www.google.com/maps/place/%E5%96%AB%E8%8C%B6%E5%AE%A4%E3%83%AB%E3%83%8E%E3%82%A2%E3%83%BC%E3%83%AB+%E6%AD%8C%E8%88%9E%E4%BC%8E%E5%BA%A7%E5%89%8D%E5%BA%97/data=!4m2!3m1!1s0x60188be754b67143:0xa32343528b30ba50,,
Dandelion Chocolate 16th Street Factory,,https://www.google.com/maps/place/Dandelion+Chocolate+16th+Street+Factory/data=!4m2!3m1!1s0x808f7fa1fe87589b:0x3021ca01d4962d2c,,
Mints & Honey Burlingame,,https://www.google.com/maps/place/Mints+%26+Honey+Burlingame/data=!4m2!3m1!1s0x808f9da3a7ec6fed:0xe537754f9d0676b2,,
Cafe International,,https://www.google.com/maps/place/Cafe+International/data=!4m2!3m1!1s0x808580a6c7593ff9:0xa0b133f52e0870e4,,
Wooden Coffeehouse,,https://www.google.com/maps/place/Wooden+Coffeehouse/data=!4m2!3m1!1s0x8085875459210a5f:0x5c5662c4c5b99456,,
ARRO Coffee - Marylebone,,https://www.google.com/maps/place/ARRO+Coffee+-+Marylebone/data=!4m2!3m1!1s0x48761b4e3ed7988d:0xbe8aeb4378d3b217,,
The Mokapot House,,https://www.google.com/maps/place/The+Mokapot+House/data=!4m2!3m1!1s0x48761b03721aff4d:0xf429cf67c879bec8,,
